file_path,line_number,pattern_category,matched_text,confidence
MetaBlooms_OS/mpp.py,57,class_def,"class MPPOrchestrator:",high
MetaBlooms_OS/mpp.py,62,function_def,"def __init__(self, os_root, state, environment):",high
MetaBlooms_OS/mpp.py,78,function_def,"def fail_closed(self, phase, reason):",high
MetaBlooms_OS/mpp.py,100,function_def,"def phase_neg1_enforcement(self):",high
MetaBlooms_OS/mpp.py,119,function_def,"def phase_neg1b_environment(self):",high
MetaBlooms_OS/mpp.py,144,function_def,"def phase_0_claims(self, task_type, task_description):",high
MetaBlooms_OS/mpp.py,170,function_def,"def phase_05_mastery(self, task_description, domain):",high
MetaBlooms_OS/mpp.py,192,function_def,"def phase_1_see(self, claims):",high
MetaBlooms_OS/mpp.py,214,function_def,"def phase_2_mmd(self, mastery_definition, see_results):",high
MetaBlooms_OS/mpp.py,234,function_def,"def phase_25_toolbox(self):",high
MetaBlooms_OS/mpp.py,268,function_def,"def phase_275_preparation(self, mastery_definition):",high
MetaBlooms_OS/mpp.py,293,function_def,"def phase_6_verify(self):",high
MetaBlooms_OS/mpp.py,363,function_def,"def phase_7_receipt(self, see_summary, mmd_summary, rrp_summary):",high
MetaBlooms_OS/mpp.py,409,function_def,"def phase_75_assimilation(self, mastery_definition, ...):",high
MetaBlooms_OS/mpp.py,432,function_def,"def run_preparation_phases(self, task_type, task_description, domain):",high
MetaBlooms_OS/mpp.py,468,function_def,"def run_execution_phases(self, claims, mastery_definition, ...):",high
MetaBlooms_OS/mpp.py,10,pipeline_phase,"Phase -1 -> Enforcement Capability Declaration",high
MetaBlooms_OS/mpp.py,11,pipeline_phase,"Phase -1B -> Environment Declaration",high
MetaBlooms_OS/mpp.py,12,pipeline_phase,"Phase 0 -> Claim Enumeration (ECL)",high
MetaBlooms_OS/mpp.py,13,pipeline_phase,"Phase 0.5 -> MASTERY_DEFINITION",high
MetaBlooms_OS/mpp.py,14,pipeline_phase,"Phase 1 -> SEE (Evidence Gathering)",high
MetaBlooms_OS/mpp.py,15,pipeline_phase,"Phase 2 -> MMD (Missing Middle Detection)",high
MetaBlooms_OS/mpp.py,16,pipeline_phase,"Phase 2.5 -> TOOLBOX_REALITY_VALIDATION (R2.5) <- HARD GATE",high
MetaBlooms_OS/mpp.py,17,pipeline_phase,"Phase 2.75 -> PREPARATION_GATE <- HARD GATE",high
MetaBlooms_OS/mpp.py,18,pipeline_phase,"Phase 3 -> BUILD (Deliverables)",high
MetaBlooms_OS/mpp.py,19,pipeline_phase,"Phase 4 -> EVALUATE (Read-Only Review)",high
